tracks/artist,tracks/album,tracks/track
Vivanativa,Cuando Regrese a Casa,Cuando Regrese a Casa
AmaLee,Nostalgia VII,"Core Pride (From ""Blue Exorcist"")"
Ben Rector,Brand New,Brand New
Anna Carina,Volver a Amar (Remix) [feat. Alkilados],Volver a Amar (Remix) [feat. Alkilados]
Elsa y Elmar,Eres Diamante,Eres Diamante
Chancho En Piedra,Grandes Exitos De Ayer y Oink!!,Eligiendo Una Reina
Malacates Trebol Shop,A Quien Corresponda.,De Colores
Hello Sleepwalkers,シンセカイ,Nisshoku
UVERworld,Rob the Frontier,Rob the Frontier
Café Por Las Venas,Déjame Ser (feat. Sie7e),Déjame Ser (feat. Sie7e)
Kobasolo,これくしょん,スパークル(movie ver.) feat.春茶
DRIMS,Rock Millennial,Todas Las Chicas
Equilivre,Papel,Papel
Pasabordo,Amor Secreto,Amor Secreto
Alkilados,Pura Playa,Solitaria (feat. Dalmata)
Manuel Turizo,Una Lady Como Tú (feat. Nicky Jam),Una Lady Como Tú (feat. Nicky Jam) - Remix
Francisca Valenzuela,Tajo Abierto,Prenderemos Fuego al Cielo
Fort Minor,The Rising Tied,Remember the Name (feat. Styles of Beyond)
Gangster,Paraparap - Single,Paraparap
James Bay,Chaos And The Calm,Hold Back The River
Bacilos,Sinverguenza,Pasos de gigantes
AmaLee,ODD FUTURE,ODD FUTURE
Panacea Project,"Sesiones Acusticas, Vol. 2",Ay Vamos
Daniel Betancourth,Punto Caramelo (feat. Alkilados),Punto Caramelo (feat. Alkilados)
Conrad Sewell,Hold Me Up,Hold Me Up
FLETCHER,War Paint,War Paint
J Boog,Backyard Boogie,Let's Do It Again
Ricky Martin,Vente Pa' Ca (Remixes) (feat. Maluma),Vente Pa' Ca (feat. Maluma) - Versión Salsa
Esteman,"La Música Que Inspiró La Serie Original De Netflix, La Casa De Las Flores",Noche Sensorial
Justin Bieber,Purpose,Company
Jerau,Mi Loquita de Remate,Mi Loquita de Remate
Los Bonnitos,Fantasmas,Fantasmas
Migrantes,Suena Migrantes!,Mi Peor Error
Jamaruk,Como Te Quiero,Como Te Quiero
Dave Does Music,Fight Together,Fight Together
Charlie Puth,Some Type of Love,I Won't Tell a Soul
Foo Fighters,"Echoes, Silence, Patience & Grace",The Pretender
Avicii,Waiting For Love,Waiting For Love
AmaLee,Nostalgia V,Golden Time Lover
Caloncho,Palmar,Palmar
Marc E. Bassy,You & Me,You & Me
Akano,"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"")","Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") - Full Version"
Divino,Por Experiencias Propias,Pobre Corazón (salsa Mix)
Mike Bahía,Tarde,Tarde
Justin Bieber,Sorry,Sorry - Latino Remix
"Sasha, Benny y Erik",Entre Amigos,Japi - En Vivo Entre Amigos
Two Flow,Mucho Mas,No Es Igual
Fito Paez,Canciones Para Aliens,Un Beso y una Flor
Shamanes Crew,Antología,Espartaco
Juanes,Loco De Amor,Mil Pedazos
Agapornis,El Color de Tus Ojos,El Color de Tus Ojos
Guitarrista de Atena,"Memories (From ""One Piece"")","Memories (From ""One Piece"")"
Mrs. GREEN APPLE,Speaking,Speaking
Borchardt,Dulces de Menta,Dulces de Menta
Agapornis,I Will Be There (feat. ChocQuibTown),I Will Be There (feat. ChocQuibTown)
Who Is Fancy,Goodbye,Goodbye
Miranda!,Safari,Nadie como tú
SymaG,三途ノ川,世余威ノ宵
Victor Muñoz,Te Quiero Bonito (feat. Nacho),Te Quiero Bonito (feat. Nacho)
Caloncho,Bálsamo,Optimista
Daniela Spalla,Camas Separadas,Vete De Una Vez
Calum,Hey Babe!,Hey Babe!
The Chainsmokers,World War Joy,Call You Mine
Akano,"From the edge (From ""Demon Slayer: Kimetsu no Yaiba"")","From the edge (From ""Demon Slayer: Kimetsu no Yaiba"")"
DLD,Estaré,Estaré
Jonathan Young,A Cruel Angel's Thesis,A Cruel Angel's Thesis
Piva,Mala,Mala
Gusi,Contigo,Contigo - (Versión Pop)
Bruno Mars,24K Magic,Versace on the Floor
Rosario Ortega,Espuma,Espuma
Mc Brow,Legado,Freedom
Alejandro Fernández,Se Me Va La Voz,Se Me Va La Voz - Urban Remix
Absalon & Afropacífico,"A Mi Viejo, Vol. 4",Negro Negrito
Matisse,Sube,Más Que Amigos
Miguel Bosé,Colección Definitiva,El hijo del Capitán Trueno
Piso 21,Suele Suceder,Suele Suceder
Dani Del Corral,Un Pedazo de Mí,Un Pedazo de Mí
Ezra Vine,Celeste EP,Celeste
Croma Latina,Duele el Corazon (Salsa Version) [feat. Paskal],Duele el Corazon (Salsa Version) [feat. Paskal]
R5,Sometime Last Night,Smile
Xtreme,Xtreme,Te Extraño - Bachata Version
Jesse & Joy,3 A.M.,3 A.M.
TOTEM,All Falls Down - Single,All Falls Down
Joey Montana,Picky,Picky
Laharl Square,"Sayonara Moon Town (From ""Boruto: Naruto Next Generations"")","Sayonara Moon Town (From ""Boruto: Naruto Next Generations"")"
SPYAIR,MILLION,Sakuramitsutsuki
Bely Basarte,I Took a Pill in Ibiza,I Took a Pill in Ibiza
Los Vasquez,De Sur a Norte,Vuela Que Vuela
Los Hermanos Rosario,Bomba 2000,Un Beso y una Flor
Sofia Reyes,Conmigo (Rest of Your Life),Conmigo (Rest of Your Life)
MisterWives,Same Drugs,Same Drugs
Caloncho,Bálsamo,Brillo Mio
La Hawaiian,Cold Water,Cold Water
Bacilos,Por Hacerme el Bueno,Por Hacerme el Bueno
Los Rodriguez,Sin Documentos,Sin Documentos
Charlie Puth,Attention,Attention
Abraham Mateo,Are You Ready?,I'm Feeling so Good (feat. CD9)
Anthem Lights,Wildest Dreams,Wildest Dreams
3年E組うた担(渚&茅野&業&磯貝&前原),バイバイ YESTERDAY,バイバイ YESTERDAY - TVsize
Morat,Presiento,Presiento
Jesse & Joy,Soltando Al Perro,Corazón De Campeón
Moxie Raia,I Love It When You Cry,I Love It When You Cry
Los Pericos,Pura Vida,Pianito
Daniela Spalla,Camas Separadas,Estábamos Tan Bien
Pablo Benegas,Calcomania,Calcomania
Cahoots,Summer Clothes,Summer Clothes
Shawn Mendes,If I Can't Have You,If I Can't Have You
Reik,Un Dia Mas (Edicion Especial),Vuelve a Mí
AmaLee,Lifelight,Lifelight
Raon Lee,Gurenge (Demon Slayer: Kimetsu no Yaiba Op),Gurenge (Demon Slayer: Kimetsu no Yaiba Op)
Agapornis,Juntos,La Melodía de Dios
Elevador,No Es Normal,No Es Normal
Carlos Rivera,Yo Creo,Quedarme Aquí
Maluma,Sin Contrato (feat. Fifth Harmony),Sin Contrato (feat. Fifth Harmony)
Panic! At The Disco,Pray for the Wicked,"Hey Look Ma, I Made It"
Panic! At The Disco,Death of a Bachelor,LA Devotee
Shawn Hook,Sound of Your Heart,Sound Of Your Heart
balloon,Corridor,Charles(self cover)
Ken-Y,Como Lo Hacia Yo (Official Remix),Como Lo Hacia Yo (Official Remix)
Gabrielle Aplin,Miss You,Miss You
Rosario Ortega,Otro Lado,Otro Lado
Quique Neira,MIL Canciones,Sin Ti (feat. Quique Neira)
Julieta Venegas,Algo Sucede,"Buenas Noches, Desolación"
La Melodia Perfecta,Sobrenatural,Te Contare
French Montana,Unforgettable (feat. Swae Lee),Unforgettable (feat. Swae Lee) - Latin Remix
Ana Mena,No Soy Como Tú Crees,No Soy Como Tú Crees
Michele Grandinetti,Me And My Broken Heart,Me And My Broken Heart
Rhose,Vol. III,Up Tempo
Fito Paez,Aleluya al Sol,Aleluya al Sol
Shiro Sagisu,Neon Genesis Evangelion (Original Series Soundtrack),A Cruel Angel's Thesis - Director's Edit Version
Quique Neira,Cover Me,Pensando En Ti
Aura,Aura,Eres para Mi
Jesse & Joy,Lo Nuestro Vale Más,Lo Nuestro Vale Más
Luis Fonsi,Despacito (Featuring Daddy Yankee),Despacito (Featuring Daddy Yankee)
AmaLee,Nostalgia,"Freckles / Sobakasu (From ""Rurouni Kenshin"")"
Ed Sheeran,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid)
CNCO,Primera Cita,Cien
Victor Muñoz,Mi Felicidad,Mi Felicidad
PANDA,Amantes Sunt Amentes,Los Malaventurados No Lloran
Mojito Lite,Nada Es Demasiado,Quemando Amor
Daniel Huen,Inevitable,En mi boca
Maluma,El Perdedor (feat. Yandel),El Perdedor (feat. Yandel) - The Remix
Francisca Valenzuela,Buen Soldado,Quiero Verte Más
Jordan Bratton,YOUTH,Victoria
Movimiento Original,Teorema,Natural
Kygo,Stay (feat. Maty Noyes),Stay (feat. Maty Noyes)
Los Tres,Los Tres,Un Amor Violento
Christian Daniel,Me Vuelvo un Cobarde (Bachata) - Single,Me Vuelvo un Cobarde (Bachata)
Rombai,De Fiesta,Locuras contigo
Camila Luna,Siento (AR Ferdinand Remix),Siento (AR Ferdinand Remix)
Las Marti,Mas Acaramela'o,Sucio Perro
Nano William,"Sigue tu camino (feat. Crow ""El Legendario"")","Sigue tu camino (feat. Crow ""El Legendario"") - Radio Edit"
