tracks/artist,tracks/album,tracks/track
Allen Stone,Radius,Symmetrical
Mike Bahía,Buscándote,Buscándote - Version Salsa
Maluma,Borro Cassette,Borro Cassette - Versión Salsa Choke
Daniel Powter,Daniel Powter,Bad Day
Pasabordo,Pasabordo,Te Quiero Amar - Remix
PelleK,Covers Vol. 34,"Black Rover (From ""Black Clover"")"
Kyo Kimura,"Netsuretsu! Anison Spirits THE BEST -Cover Music Selection- TV Anime Series ""Digimon Series"" vol.1",Fire!! (''Digimon Frontier OP'')
Matisse,Sube,Cuando Te Encontré
Mon Laferte,La Trenza,Amárrame
Xantos,Revolucionario,Bailame Despacio
W. Darling,Chapter One,Learn To Love
Nicolás Silva,"Star Talent Anime Concert, Vol. 1",El Mundo He de Cambiar
Rozzi,Space,Psycho
Jason Derulo,Everything Is 4,Try Me (feat. Jennifer Lopez and Matoma)
Ken-Y,The King Of Romance,Como Lo Hacia Yo
Fernando Ubiergo,Acustico,El Tiempo En Las Bastillas - En Vivo
Illapu,Despedida Del Pueblo,Candombe Para José
Agapornis,AGP en Fiesta,Perfecta (En Vivo) (feat. Ale Sergi y Juliana Gattas de Miranda!)
Wiz Khalifa,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth)
Justin Bieber,Purpose,Sorry
Years & Years,Y & Y EP,King
Miranda!,Fuerte,Enero (with Jesús Navarro)
Puerto Rican Power,2 Grandes de la Salsa Vol. 4,Tu Cariñito
Altafulla,Aguacero (Remix) [feat. Sonny & Vaech],Aguacero (Remix) [feat. Sonny & Vaech]
Mike Bahía,Estar Contigo - Single,Estar Contigo
Jason Derulo,Everything Is 4,Cheyenne
Ariana Grande,The Way,The Way - Spanglish Version
Los Prisioneros,Corazones,Tren Al Sur
Sapphire,"Shiki no Uta (From ""Samurai Champloo"")","Shiki no Uta (From ""Samurai Champloo"")"
Pitbull,No Lo Trates,No Lo Trates
Meghan Trainor,Title,No Good For You
Piso 21,Me Llamas (feat. Maluma),Me llamas (feat. Maluma) - Remix
CNCO,Primera Cita,Tan Fácil (feat. Wisin) - Urban Remix
Becky G,Mayores,Mayores
Juan Miguel,Como Tu,Como Tu
Salomé Anjarí,Gurenge (Kimetsu No Yaiba Opening),Gurenge (Kimetsu No Yaiba Opening)
Maná,Você É Minha Religião: O Melhor Do Maná,Você é minha religião (feat. Jorge & Mateus)
Halconizados de Amor,Fotos Viejas (feat. Zenon Pereyra),Fotos Viejas
Carlos Vives,Ella Es Mi Fiesta (feat. Maluma),Ella Es Mi Fiesta (feat. Maluma) - Remix
Marco Mares,La Sanadora,La Sanadora
Prince Royce,Culpa al Corazón,Culpa al Corazón
Santiago Cruz,Equilibrio,Una Historia Diferente
Gente De Zona,Visualízate,La Gozadera (feat. Marc Anthony) - Salsa Version
The Knocks,I Wish (My Taylor Swift),I Wish (My Taylor Swift)
Greeicy,Amantes,Amantes
Los 5,Mexico,Mexico
Los Amigos Invisibles,"Los Amigos Invisibles, Acústico",La Que Me Gusta - Versión Acústica
Neon Trees,Pop Psychology,Sleeping With A Friend
一二三,猛独が襲う,猛独が襲う
Ariana Grande,"thank u, next","thank u, next"
Keith Keniff,Branches,Branch
JENCARLOS,Bajito,Bajito
miwa,miwa the Best,chAngE
Caleb Hyles,Rewrite,Rewrite
Lasso,Sin Otro Sentido,Huyendo
Anuel AA,China,China
Cavanna,El dueño de tú corazón,El dueño de tú corazón - Radio Edit
Fito Paez,Giros,11 Y 6
Gustavo Cerati,Ahí Vamos,Crimen
Paulina Rubio,Pau Factor,Te Quise Tanto
Israel Kamakawiwo'ole,Alone In Iz World,Over the Rainbow
Efecto Pasillo,Tiembla la Tierra (Spotify Exclusive Version),Cuando Me Siento Bien
Salomé Anjarí,Anime Pawa Vol1,Netsujou No Spectrum
Chayanne,Qué Me Has Hecho (feat. Wisin),Qué Me Has Hecho (feat. Wisin)
CeeLo Green,Robin Williams,Robin Williams
Miguel Mateos - Zas,Solos en América,Cuando Seas Grande
WANIMA,Everybody!!,シグナル
Sam Smith,Lay Me Down,Lay Me Down
Audien,Something Better,Something Better
Prince Royce,Adicto (feat. Marc Anthony),Adicto (feat. Marc Anthony)
Daniel Huen,Cuanto Deseo - Single,Cuanto Deseo
Los Mesoneros,Caiga la Noche,Caballo Nuevo
Daniel Huen,Qué Fácil Es Quererte - Single,Que Facil es Quererte
Gaby Vega,"Star Talent Anime Concert, Vol. 1",Over Soul
JeanPhi La Calidad,Ella Se Pregunta,Ella Se Pregunta (feat. MG Windey)
Daughtry,Leave This Town,Life After You
Julieta Venegas,Limon Y Sal,Eres para Mí (with Anita Tijoux)
Miho Fukuhara,Music Is My Life,Let It Out
Levox,Shiki No Uta,Shiki No Uta
Los Mesoneros,Pangea,Pangea
Coti,Canciones Para Llevar,Antes Que Ver El Sol - Bonus Track
Nashville Cast,Ho Hey,Ho Hey
Farruko,Visionary,Te Va a Doler
Shakira,El Dorado,Perro Fiel (feat. Nicky Jam)
Conganas,Conganas,Mujer Divina
Prince Royce,Soy el Mismo,Darte un Beso
Llevarte a Marte,Cuando Tu Estas,Cuando Tu Estas
Lena,Crystal Sky,Traffic Lights
#TocoParaVos,De vez en cuando (feat. Los Bonnitos),De vez en cuando (feat. Los Bonnitos)
Mami,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.2,Fight Together (第493話〜516話 OP)
WALK THE MOON,What If Nothing,Can't Sleep (Wolves)
AmaLee,Nostalgia VII,"Flyers (From ""Death Parade"")"
Hearts & Colors,Steal My Girl - Single,Steal My Girl
Joaco Terán,Libres,Libres
Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,La Lola
Agapornis,De Bailadeta,Le Hace Falta un Beso
AmaLee,Nostalgia IV,Ready Steady Go (Fullmetal Alchemist)
Los 5,Mañana,Mañana
Charlie Wilson,Forever Charlie,Somebody Loves You
Rudimental,We The Generation,Lay It All On Me (feat. Ed Sheeran)
Paty Cantú,#Natural,#Natural
Allan Ramirez,Take My Hand,Take My Hand
Aleks Syntek,Leccion De Vuelo,Historias De Danzón Y De Arrabal
Andrés Vignau,Nadie Más Que Tú,Formas Parte
Fall Out Boy,Save Rock And Roll,Miss Missing You
Alessia Cara,Know-It-All,Scars To Your Beautiful
Músicxs De Chile,El Derecho de Vivir en Paz,El Derecho de Vivir en Paz
Audien,Daydreams,Pharaohs
Sixto Rein,Ojitos,Ojitos
Rihanna,American Oxygen,American Oxygen
Dread Mar I,Amor-es,Mi Amor
The Sam Willows,Take Heart,Take Heart
Tei Shi,Verde,Go Slow
Adrian Barba,Somos Una Sola Mente,Sola Nunca Estarás
Charlie Puth,One Call Away,One Call Away
The Covers Duo,J-Rock & Anicovers,Zen Zen Zense
Skypiece,Be Boy,Amegafurukara Nijigaderu
Animelmack,Wild Flowers (Zoids),Wild Flowers (Zoids)
DRIMS,DEMOS,Saturno
Years & Years,Communion,Gold
Piso 21,Déjala Que Vuelva (feat. Manuel Turizo),Déjala Que Vuelva (feat. Manuel Turizo)
みゆな,ガムシャラ,ガムシャラ
Ricky Martin,Vente Pa' Ca (feat. Maluma),Vente Pa' Ca (feat. Maluma)
Maná,Cama Incendiada,Adicto A Tu Amor
Safree,Sin Tu Voz,Sin Tu Voz
Gepe,Estilo Libre,Ser Amigos
4 AM,Me Late El Corazón,Me Late El Corazón
Maggie Vera,Anime Entre Amigos,Mi Corazón Encantado (Db Gt)
BRAVVO,Let Me Go,Let Me Go
Cadereira,"El Baquetón, Vol. 2",Yoga Pants - Original Mix
Mon Laferte,Tornasol,Ángel Negro
Milo,Alókate,Alókate
Primavera Club,Dorama,Dorama
Reik,Si Me Dices Que Sí (feat. Camilo),Si Me Dices Que Sí (feat. Camilo) - R3HAB Remix
Luis Enrique,Ciclos,Yo No Se Manana - Salsa Version
Panacea Project,#Panaceros 1,Vivir Mi Vida
Royal Tongues,Cut Me Loose (feat. Little Daylight),Cut Me Loose (feat. Little Daylight)
Alkilados,La Bicicleta,La Bicicleta
Daughtry,Baptized (Deluxe Version),Waiting for Superman
Reik,Des/Amor,We Only Have Tonight
Alkilados,14 Súper Éxitos Bailables,Una Cita (Remix)
Costera,Aliados,Paseo Sideral
Ludacris,Burning Bridges,Good Lovin
MisterWives,Machine,Machine
Tony Dize,La Melodia De La Calle 3rd Season,Duele El Amor
Mauren Mendo,"Star Talent Anime Concert, Vol. 1",Pegasus Fantasy
J Balvin,Energía,Sigo Extrañándote
Meghan Trainor,I'll Be Home,I'll Be Home
New Hollow,Why Don't You Love Me,Why Don't You Love Me
AmaLee,Nostalgia VII,"Hologram (From ""Fullmetal Alchemist: Brotherhood"")"
Los Prisioneros,Coleccion Suprema,Estrechez De Corazón
Mon Laferte,Tornasol,Vuelve por Favor
Salta La Banca,¡Eureka!,Faquir
Bongoyeyo,Ogundamassa,Cuanto Te Quiero (Bonus Track) [feat. Cestar]
Jake Miller,Rumors,Rumors
Circo Vulkano,El Reto,Loca
Years & Years,Eyes Shut,Eyes Shut
"Sasha, Benny y Erik",Entre Amigos,Punto de Partida - En Vivo Entre Amigos
Pasabordo,Pasabordo,Devuélveme la Vida
Abraham Mateo,Loco Enamorado,Loco Enamorado
Natiruts,Box Natiruts,"Sorri, Sou Rei (feat. Claudia Leitte)"
AmaLee,Make My Story,Make My Story
Anuel AA,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]"
Daichi Miura,Blizzard,Blizzard
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
Panic! At The Disco,Pray for the Wicked,High Hopes
Jenny And The Mexicats,Sin Tus Estrellas,Sin Tus Estrellas
Resto del Mundo,Feels Like Something Started,Feels Like Something Started
Los Mesoneros,Pangea,Últimas Palabras
NIHILS,Help Our Souls (Urban Contact Radio Edit),Help Our Souls (Urban Contact Radio Edit)
Pasabordo,Pasabordo,Para Ti
Mohombi,MoveMeant,Bumpy Ride
Rodrigo Mercado,El fondo de la chistera,Las buenas costumbres
Mon Laferte,La Trenza,Que Sí
Zara Larsson,Never Forget You,Never Forget You
ITOWOKASHI,さいごまで/カナデアイ,カナデアイ
Mon Laferte,La Trenza,No Te Fumes Mi Mariguana
Nano Stern,San Diego 850,La Puta Esperanza
Ana Mena,Te Falta Veneno,Te Falta Veneno - Versión 2017
Joe Vasconcellos,Verde Cerca,Huellas
Elsa y Elmar,Eres Diamante,Mierda
Manu Pilas,Bella Ciao (Versión Lenta de la Música Original de la Serie la Casa de Papel / Money Heist),Bella Ciao - Versión Lenta de la Música Original de la Serie la Casa de Papel / Money Heist
Iskander,Fresas Con Vodka,A Labio Dulce
Juan Ingaramo,Clave,Clave
Jota Y Leo,Redes Sociales,Redes Sociales
Kendrick Lamar,To Pimp A Butterfly,King Kunta
Dame 5,Piel a Piel,Piel a Piel
León Larregui,Metrópolis,Rue Vieille Du Temple - Live
Covi Quintana,Yo Me Enamoré,Yo Me Enamoré
Smile,Ella Tiene Algo,Ella Tiene Algo
JENCARLOS,Dime,Dime
CNCO,Tan Fácil,Tan Fácil
Mau y Ricky,Mi Mala,Mi Mala
Mau y Ricky,Voy Que Quemo,Voy Que Quemo
"Wise ""the Gold Pen""",14F,Mi Angel (feat. Maluma & Ken Y)
Ana Tijoux,Vengo,Somos Sur
Los Mesoneros,Pangea,Dudo Que Lo Encuentres
Julio Camejo,Echando Pa'lante,Dame
Heffron Drive,Happy Mistakes (Unplugged),Passing Time (feat. Logan Henderson)
SAINTS OF VALORY,V,Long Time Coming
Scott MacIntyre,If I Had Wings (Original Music from the Motion Picture),If I Had Wings (Original Music from the Motion Picture)
Lucas & The Woods,Cultura Pop,Vampiro
Daughtry,Baptized (Deluxe Version),Baptized
PelleK,The National Anthem Metal Medley,Canción Nacional (Metal Version of the Chilean National Anthem)
AmaLee,Nostalgia V,Let It Out
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up
Lola Club,Homónimo,Sólo Esta Noche
Alan Rojas,"Requiem Der Morgenröte (From ""Shingeki No Kyojin Season 3"") [TV Latino]","Requiem Der Morgenröte (From ""Shingeki No Kyojin Season 3"") [TV Latino]"
Nicky Romero,Lighthouse,Lighthouse - Radio Edit
Urband 5,#BPSU,Como eh
Daniela Spalla,Camas Separadas,Pinamar
Don Omar,Perdido En Tus Ojos,Perdido En Tus Ojos
Los Claxons,"Centro, Sur Y Al Otro Lado",Hasta Que Vuelvas a Verme
Sin Bandera,Sin Bandera,Sirena
Wamba,Cómplices,Canción del Mes
VI-EM,Canta,Loco de Amor
Cö Shu Nie,asphyxia,asphyxia
Natalie La Rose,Around The World,Around The World
Sebastian Yatra,Traicionera,Traicionera
Taichi Mukai,道,道
Miguel Mateos,Lo Esencial,Cuando Seas Grande
Daniel Huen,Baila (Sala Version) - Single,Baila (Salsa Version)
J Boog,Backyard Boogie,Sunshine Girl
Mano Arriba,El Equivocado,El Equivocado
Katy Tiz,Whistle (While You Work It),Whistle (While You Work It)
Agapornis,Agapornis - Volando Con Ritmo,"Te Extraño, Te Olvido, Te Amo"
Pasabordo,Noche Loca Remix,Noche Loca Remix
PelleK,"Covers, Vol. 35","Jenny of Oldstones (From ""Game of Thrones"")"
Maldita Nerea,Cuando Todas las Historias Se Acaban,Cuando Todas las Historias Se Acaban
Mrs. GREEN APPLE,TWELVE,愛情と矛先
Juan Palau,Pa la Playa,Pa la Playa
Wamba,Cómplices,Ofrezco Recompensa
Cidade do Reggae,Cidade do Reggae,Mother nature
RADWIMPS,人間開花,スパークル - original ver.
Mrs. GREEN APPLE,青と夏,青と夏
Mera,Me Voy de Viaje Solito,Me Voy de Viaje Solito
#TocoParaVos,Su Fiel Admirador,Su Fiel Admirador
Carlos Baute,Perdimos el control,Perdimos el control
Julia Michaels,Heaven,Heaven
Juan Magán,Quiero Que Sepas,Quiero Que Sepas
One Direction,Drag Me Down,Drag Me Down
Sara Bareilles,The Blessed Unrest,I Choose You
Landon Austin,Leave a Trace,Leave a Trace
Juancho Style,Te Quiero Ver Bailar,Te Quiero Ver Bailar
Pignoise,Lo Que Queda por Andar,Prométeme
Omar Acedo,Solo Contigo (Remix) [feat. El Potro Alvarez],Solo Contigo (Remix) [feat. El Potro Alvarez]
Caibo,Te Llevo en Mi Corazón (feat. Nacho) - Single,Te Llevo en Mi Corazón (feat. Nacho)
Jake Owen,Real Life,Real Life
Fonseca,Corazon,Te Mando Flores
Los Prisioneros,La Voz de los '80 (Edición 30 Años),Paramar
Arevalo,Así No Mas,Así No Mas
ASIAN KUNG-FU GENERATION,World World World,After Dark
Alkilados,Chiquita,Chiquita
Kenshi Yonezu,Lemon,Cranberry & Pancake
ITOWOKASHI,アイオライト/蒼い炎,蒼い炎
Demi Lovato,Cool for the Summer,Cool for the Summer
Alejandro Gonzalez,Le Hace Falta Un Beso (feat. Mike Bahía),Le Hace Falta Un Beso (feat. Mike Bahía)
Marama,Baila Nena,Bronceado
Steve Grand,All American Boy,All-American Boy
Esteman,Caótica Belleza,Baila
Noche de Brujas,Vivir Sin Tu Amor,Bailando
Daughtry,Baptized (Deluxe Version),Long Live Rock & Roll
DLD,Futura,Sigo Siendo Yo
Camila,Todo Cambio,Yo Quiero
Coti,Lo Dije Por Boca De Otro,Lento
Raon Lee,Kenshi Yonezu (米津玄師) - Lemon,Kenshi Yonezu (米津玄師) - Lemon
Khamari,Closer / Cold Water,Closer / Cold Water
Río Roma,Eres la Persona Correcta en el Momento Equivocado,Caminar de Tu Mano
La Hawaiian,Thinking out Loud,Thinking out Loud
Santa Banda,Te Voy a Querer,Pinta el Mundo
Gabriela Vega,Inuyasha,Grip
Chris August,The Maker,The Maker
NateWantsToBattle,Rakugaki Page,Rakugaki Page
Kobasolo,これくしょん,シルエット feat.MICO
Pia Mia,Do It Again,Do It Again
Mrs. GREEN APPLE,"Love me, Love you","Love me, Love you"
Reik,Indeciso,Indeciso
IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","Ay Mi Dios (feat. Pitbull, Yandel & Chacal)"
Nahko And Medicine For The People,Dark As Night,Black As Night
Residente,René,René
Cash,Dime Que Si,Dime Que Si
Levit,Huir de mi,Huir de mi
Mon Laferte,Mon Laferte,Orgasmo Para Dos - En Vivo
Unchain,Love & Groove Delivery vol.2,"One more time , One more chance"
Marco Mares,Estas Canciones Me Recuerdan a Ti,Bonito
Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA)
AmaLee,Nostalgia V,Masayume Chasing
Ricardo Silva,Música de las Sagas de Dragón Ball,"Sola Nunca Estarás (Caprichosa) [Ending ""D.B. G T.""]"
Ramin Djawadi,The Night King (From Game Of Thrones: Season 8) [Music from the HBO Series],The Night King
Meteoros,Meteoros,Esclavos del Silencio
Benjamín Amadeo,Salvarme Ahora,Salvarme Ahora
Reik,Qué Gano Olvidándote (feat. Zion & Lennox),Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana
MisterWives,Our Own House,Our Own House
Rachel Platten,Fight Song - EP,Fight Song
Avicii,SOS,SOS
The Covers Duo,Anime Openings / Endings 7,Black Rover
Night Tempo,Better Days,Better Days
Mon Laferte,Mon Laferte,El Diablo
Yuri,"La Música Que Inspiró La Serie Original De Netflix, La Casa De Las Flores",Maldita Primavera - Remaster 2008
Musée Mécanique,From Shores of Sleep,Castle Walls - Instrumental
The Covers Duo,Anime Openings 6,We Are One Piece
Major Lazer,Cold Water,Cold Water - Lost Frequencies Remix
Marama,Todo Comenzó Bailando,Tal Vez
UNISON SQUARE GARDEN,UNISON SQUARE GARDEN The 1st Collection for streaming,シュガーソングとビターステップ
frederic,TOGENKYO,Kanashii Ureshii
Son Miserables,Son Miserables,Ganas de Verte
RADWIMPS,Your Name.,Nandemonaiya - Movie Version
The Chainsmokers,Closer,Closer
Los Claxons,Camino a Encontrarte (Edición Especial),Flores en Febrero
Sukima Switch,LINE,LINE - anime ver.
Erick Elera,Vuelve Pronto,Vuelve Pronto
Years & Years,Communion,Border
Bruno Mars,Finesse (Remix) [feat. Cardi B],Finesse - Remix; feat. Cardi B
Los Angeles Azules,Acaríñame,Acaríñame
Raon Lee,Kamado Tanjirou no Uta,Kamado Tanjirou no Uta
Rhose,Vol. III,Lo Siento
#TocoParaVos,Solo Necesito,Solo Necesito
CNCO,Reggaetón Lento (Remix),Reggaetón Lento (Remix)
Daniela Spalla,Camas Separadas,Viaje A La Luna
Noche de Brujas,Me Gusta Todo de Ti,Me Gusta Todo de Ti
Camilo,Favorito,Favorito
Zion & Lennox,Pierdo la Cabeza (Remix) [feat. Farruko & Yandel],Pierdo la Cabeza (Remix) [feat. Farruko & Yandel]
Alkilados,Pura Playa,Tengo
Gin Wigmore,Gravel & Wine,Kill Of The Night
Anglada Cerezuela,Manzana de Caramelo,El Reloj y Su Tic Tac
MC Mario,Love Is Who We Are,Love Is Who We Are
Nicky Jam,Fénix,Si Tú La Ves (feat. Wisin)
Esteman,Amor Libre,Amor Libre
Coti,Que Esperas,50 Horas
Chancho En Piedra,Grandes Exitos De Ayer y Oink!!,Multirricachon
Cazette,Sleepless (Jixie Remix),Sleepless (Jixie Remix)
#TocoParaVos,Vuelve Otra Vez,Vuelve Otra Vez
Manuel Turizo,Una Lady Como Tú,Una Lady Como Tú
Julieta Venegas,Si,Algo Está Cambiando
Vance Joy,Riptide,Riptide - One Bit Remix
Jonathan Young,Odd Future,Odd Future - Full Version
Fito Paez,Circo Beat,Mariposa tecknicolor
Reik,Des/Amor,Ya Me Enteré (feat. Nicky Jam) - Urban Version
AmaLee,Nostalgia II,Smile Bomb (Yu Yu Hakusho)
FLOW,Flow Anime Best Kiwami,7 -Seven-
Mandinga,We Don't Talk Anymore (Salsa Version),We Don't Talk Anymore (Salsa Version)
Stephan Altman,Little Boy (Original Soundtrack Album),When You Find Love (with Peter Barbee & Mark Pontius)
Madcon,Don't Worry (feat. Ray Dalton),Don't Worry (feat. Ray Dalton)
La Gusana Ciega,Borregos En La Niebla,Pasiflorine
Taxistas,Taxistas - Single,Besar el Cielo
Reik,Ahora,Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana
Olga Tañón,Vivo La Vida,Vivo La Vida
Coti,Que Esperas,Pequeña Lucha
Olly Murs,Right Place Right Time (Deluxe),Dance with Me Tonight
Daddy Yankee,Dura,Dura - Remix
Bruno Mars,24K Magic,That's What I Like
Tricker,"In My World (From ""Blue Exorcist"")","In My World (From ""Blue Exorcist"")"
FLOW,Howling,Howling
Bombai,Solo Si Es Contigo,Solo Si Es Contigo
Lenny code fiction,Montage,Make My Story
Drake,Views,One Dance
Grupo Extra,Traicionera,Traicionera - Bachata Radio Edit
Vicente Garcia,Spotify Singles,Dulcito e Coco - Recorded at Spotify Studios NYC
Agapornis,Agapornis - Volando Con Ritmo,Persiana Americana
AmaLee,Nostalgia VII,"Kesenai Tsumi (From ""Fullmetal Alchemist"")"
Ricky Martin,Tiburones,Tiburones - Remix
Raon Lee,Inferno,Inferno
Sara Hartman,Monster Lead Me Home,Monster Lead Me Home
Julian,Bonita Morena,Bonita Morena
Shane Harte,Let You Know,Let You Know
Campo De Almas.,Cada Minuto,Cada Minuto
Los Vasquez,Contigo Pop y Cebolla,Juana María
Cabas,Enamorandonos,Enamorandonos
Dread Mar I,Amor-es,Salvame
Luis Fonsi,Échame La Culpa,Échame La Culpa
Jesse & Joy,Un Besito Más,No soy una de esas (feat. Alejandro Sanz)
Gabriela Vega,Shaman King,Brave Heart
Agapornis,Agapornis - Volando Con Ritmo,Dónde Están Corazón
AmaLee,Nostalgia V,Samurai Heart
Mrs. GREEN APPLE,ロマンチシズム,ロマンチシズム
J Palacios,Por Que Tu Me Ignoras,Por Que Tu Me Ignoras
Mike Bahía,Buscándote,Buscándote - Radio Edit
Selena Gomez,Wolves,Wolves
Los Bonnitos,Sigamos Bailando,Dile
Debi Nova,Soy,Cupido
Dave Does Music,HOPE,HOPE
Beatriz Luengo,Bela Y Sus Moskitas Muertas,Ley De Newton (feat. Jesús Navarro)
The Covers Duo,Anime Openings 1,Olvida la Amargura (Ranma 1/2)
Cosculluela,Te Busco,Te Busco
Amaia Montero,Los Abrazos Rotos (with Alex Ubago),Los Abrazos Rotos (with Alex Ubago)
ATL,El Inicio,Algo Irreal
Anitta,Downtown,Downtown
Allen Stone,Radius,Upside
Agapornis,Agapornis - Volando Con Ritmo,Todo Está En Vos
iiReal,Con un Beso - Single,Con un Beso
Wamba,Cómplices,Otra Vez
Caleb Hyles,Odd Future,Odd Future
Reik,Amigos Con Derechos,Amigos Con Derechos
Reik,Reik,Niña
Gaby Vega,"Star Talent Anime Concert, Vol. 1",Yo Soy
Starley,Call On Me,Call on Me - Ryan Riback Remix
Jesse & Joy,Mañana Es Too Late,Mañana Es Too Late
Los Bohemios,Negrita Linda,Negrita Linda
Robin Schulz,Prayer,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix
Tori Kelly,Unbreakable Smile,Should’ve Been Us
Vickeblanka,Black Catcher,Black Catcher
Shawn Mendes,Treat You Better,Treat You Better
FLETCHER,Live Young Die Free,Live Young Die Free
Carly Rae Jepsen,Emotion,When I Needed You
Cloudjumper,Jet Set Run,Jet Set Run - Orchestral Arrangement
Morenito De Fuego,Venta De Garage,Maldición Gitana (feat. Jonaz Gzz & Danny Fornaris)
Nikki Mackliff,Ya No Puedo Amarte,Ya No Puedo Amarte
Christian Pagán,La Amiga Mía,La Amiga Mía
Gabriel Pagan,Pom Pom,Pom Pom
Prince Royce,Double Vision,Back It Up (feat. Jennifer Lopez & Pitbull) - Video Version
Paula Rojo,Creer Para Ver,Miedo A Querer
Mrs. GREEN APPLE,サママ・フェスティバル!,サママ・フェスティバル!
Efya,Janesis,Heartbeat
Ne-Yo,Year Of The Gentleman,Miss Independent
Hailee Steinfeld,Love Myself,Love Myself
Ricardo Silva,Música de las Sagas de Dragón Ball,"La Fantastica Aventura (Opening ""Dragón Ball"")"
INNA,Bop Bop (feat. Eric Turner),Bop Bop (feat. Eric Turner)
Ricardo Silva,"Star Talent Anime Concert, Vol. 1",Impacto Rojo
Wisin,Escápate Conmigo,Escápate Conmigo
Alex Goot,Sorry,Sorry
Beatriz Luengo,Bela Y Sus Moskitas Muertas (Deluxe Edition),Ley De Newton (feat. Jesús Navarro) - Bachata Version
The Chainsmokers,Collage EP,Setting Fires
Michirutopia,"I Wish ADAMAS (From ""Digimon Adventure Tri & Sword Art Online: Alicization"")","I Wish (From ""Digimon Adventure Tri."") [Versión Latino / Japonés]"
Outasight,The Wild Life,The Wild Life
Jess Glynne,Hold My Hand,Hold My Hand
Gente De Zona,Traidora,Traidora
Major Lazer,Lean On (feat. MØ & DJ Snake),Lean On (feat. MØ & DJ Snake) - J Balvin & Farruko Remix
ChocQuibTown,El Mismo,Cuando Te Veo - Salsa Version
Motel,Motel,Dime ven - Live
Los Mesoneros,Pangea,Exprópiese
The Young Wild,Not a One,Not a One
Carlos Vives,La Bicicleta,La Bicicleta
Pentatonix,"PTX, Vol. III",Rather Be
FictionJunction,From the Edge (feat. LiSA),From the Edge (feat. LiSA)
Los Enanitos Verdes,Big Bang,Lamento Boliviano
Elle King,Love Stuff,Ex's & Oh's
COIN,COIN,Atlas
Ed Sheeran,÷,New Man
Kalimba,Cena para Desayunar,Juntos Caminando (feat. Vero de la Garza)
Bruno Mars,24K Magic,Finesse
Miura Jam,"Dan Dan Kokoro Hikareteku (From ""Dragon Ball GT"")","Dan Dan Kokoro Hikareteku (From ""Dragon Ball GT"")"
CNCO,CNCO,Bonita
JCMBL,The Nightlife EP,Im Not The Only One - JCMBL Remix
Mando,Ven Báilala,Ya No Estoy
Pasabordo,Paso a Paso,Quisiera
Marama,Baila Nena,Una Noche Contigo
Meteoros,Meteoros,No Me Acuerdo de Nada
Matisse,Cuando Te Encontré,Cuando Te Encontré
Afrojack,SummerThing!,SummerThing!
Los Bonnitos,Dame la Mano,Fantasmas
D-51,Mitsuyoko Ichimura,Brand New World
Reyno,Camino A Marte,Dualidad
Elefante,El Que Busca Encuentra,De la Noche a la Mañana
#TocoParaVos,Hasta la Luna,Hasta la Luna
John Diaz,Sorry,Sorry - Remix
L'Omy,Móntate En El Patín! Vol. 1,Di Que Sí (Versión Funk)
Daniel Huen,Baila,Baila
LiSA,Gurenge,Gurenge
Migrantes,Suena Migrantes!,Hasta la Luna
Ricky Furiati,Mientras Tú Me Quieras,Mientras Tú Me Quieras
Moonlight,Lets Get This Loud!,Lets Get This Loud!
Laharl Square,"Black Catcher (From ""Black Clover"")","Black Catcher (From ""Black Clover"")"
Mike Perry,The Ocean (feat. Shy Martin),The Ocean (feat. Shy Martin)
AmaLee,"Gurenge (From ""Demon Slayer"")","Gurenge (From ""Demon Slayer"")"
Lenny Tavárez,Fantasias,Fantasias
SOJA,Vive Latino XVI Años 2015 (XVI Festival Iberoamericano de Cultura Musical),I Believe
Forever in Your Mind,Sweet Little Something,Sweet Little Something
Imagine Dragons,Smoke + Mirrors,Shots - Broiler Remix
Paulina Rubio,Paulina,Yo No Soy Esa Mujer
Mariel Mariel,Foto Pa Ti,Los Bajos Vibran En Mi Pecho
Lawson,Roads,Roads
Alkilados,Magdalena Remix,Magdalena Remix
Mati Gómez,Yo No Sé,Yo No Sé - Remix
Daniela Spalla,Te Veo A La Salida,Te Veo A La Salida
Ana Victoria,Beso De Consolación,Beso De Consolación
Sara Bareilles,The Blessed Unrest,Satellite Call
CD9,EVOLUTION,I Feel Alive - Spanish Version
Mike Bahía,La Muñeca,La Muñeca
AmaLee,Nostalgia IV,Pray (Gintama)
MisterWives,Connect The Dots,Chasing This
Gepe,TKM,TKM
